Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:50.456000,1.0,MEDIUM,1.0,110.456
VER,Red Bull Racing,2.0,0 days 00:01:47.707000,2.0,MEDIUM,1.0,107.707
VER,Red Bull Racing,3.0,0 days 00:01:47.677000,3.0,MEDIUM,1.0,107.677
VER,Red Bull Racing,4.0,0 days 00:01:47.108000,4.0,MEDIUM,1.0,107.108
VER,Red Bull Racing,5.0,0 days 00:01:47.476000,5.0,MEDIUM,1.0,107.476
VER,Red Bull Racing,6.0,0 days 00:01:47.202000,6.0,MEDIUM,1.0,107.202
VER,Red Bull Racing,7.0,0 days 00:01:46.995000,7.0,MEDIUM,1.0,106.995
VER,Red Bull Racing,8.0,0 days 00:01:46.801000,8.0,MEDIUM,1.0,106.801
VER,Red Bull Racing,9.0,0 days 00:01:46.944000,9.0,MEDIUM,1.0,106.944
VER,Red Bull Racing,10.0,0 days 00:01:50.778000,10.0,MEDIUM,1.0,110.778
VER,Red Bull Racing,14.0,0 days 00:01:46.936000,4.0,HARD,2.0,106.936
VER,Red Bull Racing,15.0,0 days 00:01:45.687000,5.0,HARD,2.0,105.687
VER,Red Bull Racing,16.0,0 days 00:01:45.497000,6.0,HARD,2.0,105.497
VER,Red Bull Racing,17.0,0 days 00:01:45.498000,7.0,HARD,2.0,105.498
VER,Red Bull Racing,18.0,0 days 00:01:45.425000,8.0,HARD,2.0,105.425
VER,Red Bull Racing,19.0,0 days 00:01:45.660000,9.0,HARD,2.0,105.66
VER,Red Bull Racing,20.0,0 days 00:01:45.446000,10.0,HARD,2.0,105.446
VER,Red Bull Racing,21.0,0 days 00:01:45.793000,11.0,HARD,2.0,105.793
VER,Red Bull Racing,22.0,0 days 00:01:45.670000,12.0,HARD,2.0,105.67
VER,Red Bull Racing,23.0,0 days 00:01:45.902000,13.0,HARD,2.0,105.902
VER,Red Bull Racing,24.0,0 days 00:01:45.738000,14.0,HARD,2.0,105.738
VER,Red Bull Racing,25.0,0 days 00:01:45.657000,15.0,HARD,2.0,105.657
VER,Red Bull Racing,26.0,0 days 00:01:45.855000,16.0,HARD,2.0,105.855
VER,Red Bull Racing,27.0,0 days 00:01:45.625000,17.0,HARD,2.0,105.625
VER,Red Bull Racing,28.0,0 days 00:01:45.694000,18.0,HARD,2.0,105.694
VER,Red Bull Racing,29.0,0 days 00:01:46.365000,19.0,HARD,2.0,106.365
VER,Red Bull Racing,30.0,0 days 00:01:45.575000,20.0,HARD,2.0,105.575
VER,Red Bull Racing,31.0,0 days 00:01:45.348000,21.0,HARD,2.0,105.348
VER,Red Bull Racing,32.0,0 days 00:01:45.354000,22.0,HARD,2.0,105.354
VER,Red Bull Racing,33.0,0 days 00:01:45.343000,23.0,HARD,2.0,105.343
VER,Red Bull Racing,34.0,0 days 00:01:45.218000,24.0,HARD,2.0,105.218
VER,Red Bull Racing,35.0,0 days 00:01:45.121000,25.0,HARD,2.0,105.121
VER,Red Bull Racing,36.0,0 days 00:01:45.050000,26.0,HARD,2.0,105.05
VER,Red Bull Racing,37.0,0 days 00:01:45.319000,27.0,HARD,2.0,105.319
VER,Red Bull Racing,38.0,0 days 00:01:45.474000,28.0,HARD,2.0,105.474
VER,Red Bull Racing,39.0,0 days 00:01:45.150000,29.0,HARD,2.0,105.15
VER,Red Bull Racing,40.0,0 days 00:01:45.418000,30.0,HARD,2.0,105.418
VER,Red Bull Racing,41.0,0 days 00:01:45.123000,31.0,HARD,2.0,105.123
VER,Red Bull Racing,42.0,0 days 00:01:45.150000,32.0,HARD,2.0,105.15
VER,Red Bull Racing,43.0,0 days 00:01:44.843000,33.0,HARD,2.0,104.843
VER,Red Bull Racing,44.0,0 days 00:01:45.275000,34.0,HARD,2.0,105.275
VER,Red Bull Racing,45.0,0 days 00:01:45.140000,35.0,HARD,2.0,105.14
VER,Red Bull Racing,46.0,0 days 00:01:44.686000,36.0,HARD,2.0,104.686
VER,Red Bull Racing,47.0,0 days 00:01:44.734000,37.0,HARD,2.0,104.734
VER,Red Bull Racing,48.0,0 days 00:01:44.566000,38.0,HARD,2.0,104.566
VER,Red Bull Racing,49.0,0 days 00:01:44.474000,39.0,HARD,2.0,104.474
VER,Red Bull Racing,50.0,0 days 00:01:44.554000,40.0,HARD,2.0,104.554
VER,Red Bull Racing,51.0,0 days 00:01:44.232000,41.0,HARD,2.0,104.232
GAS,Alpine,2.0,0 days 00:01:49.990000,2.0,MEDIUM,1.0,109.99
GAS,Alpine,3.0,0 days 00:01:49.075000,3.0,MEDIUM,1.0,109.075
GAS,Alpine,4.0,0 days 00:01:48.873000,4.0,MEDIUM,1.0,108.873
GAS,Alpine,5.0,0 days 00:01:53.152000,5.0,MEDIUM,1.0,113.152
GAS,Alpine,7.0,0 days 00:01:47.722000,2.0,HARD,2.0,107.722
GAS,Alpine,8.0,0 days 00:01:49.057000,3.0,HARD,2.0,109.057
GAS,Alpine,9.0,0 days 00:01:47.851000,4.0,HARD,2.0,107.851
GAS,Alpine,14.0,0 days 00:01:52.872000,9.0,HARD,2.0,112.872
GAS,Alpine,15.0,0 days 00:01:48.951000,10.0,HARD,2.0,108.951
GAS,Alpine,16.0,0 days 00:01:48.072000,11.0,HARD,2.0,108.072
GAS,Alpine,17.0,0 days 00:01:47.915000,12.0,HARD,2.0,107.915
GAS,Alpine,18.0,0 days 00:01:47.570000,13.0,HARD,2.0,107.57
GAS,Alpine,19.0,0 days 00:01:48.031000,14.0,HARD,2.0,108.031
GAS,Alpine,20.0,0 days 00:01:47.796000,15.0,HARD,2.0,107.796
GAS,Alpine,21.0,0 days 00:01:47.873000,16.0,HARD,2.0,107.873
GAS,Alpine,22.0,0 days 00:01:48.054000,17.0,HARD,2.0,108.054
GAS,Alpine,23.0,0 days 00:01:52.208000,18.0,HARD,2.0,112.208
GAS,Alpine,25.0,0 days 00:01:46.561000,2.0,HARD,3.0,106.561
GAS,Alpine,26.0,0 days 00:01:46.173000,3.0,HARD,3.0,106.173
GAS,Alpine,27.0,0 days 00:01:46.462000,4.0,HARD,3.0,106.462
GAS,Alpine,28.0,0 days 00:01:46.430000,5.0,HARD,3.0,106.43
GAS,Alpine,29.0,0 days 00:01:46.547000,6.0,HARD,3.0,106.547
GAS,Alpine,30.0,0 days 00:01:46.601000,7.0,HARD,3.0,106.601
GAS,Alpine,31.0,0 days 00:01:46.646000,8.0,HARD,3.0,106.646
GAS,Alpine,32.0,0 days 00:01:47.951000,9.0,HARD,3.0,107.951
GAS,Alpine,33.0,0 days 00:01:46.903000,10.0,HARD,3.0,106.903
GAS,Alpine,34.0,0 days 00:01:46.481000,11.0,HARD,3.0,106.481
GAS,Alpine,35.0,0 days 00:01:46.639000,12.0,HARD,3.0,106.639
GAS,Alpine,36.0,0 days 00:01:46.540000,13.0,HARD,3.0,106.54
GAS,Alpine,37.0,0 days 00:01:46.491000,14.0,HARD,3.0,106.491
GAS,Alpine,38.0,0 days 00:01:47.075000,15.0,HARD,3.0,107.075
GAS,Alpine,39.0,0 days 00:01:47.215000,16.0,HARD,3.0,107.215
GAS,Alpine,40.0,0 days 00:01:47.919000,17.0,HARD,3.0,107.919
GAS,Alpine,41.0,0 days 00:01:47.206000,18.0,HARD,3.0,107.206
GAS,Alpine,42.0,0 days 00:01:47.076000,19.0,HARD,3.0,107.076
GAS,Alpine,43.0,0 days 00:01:46.863000,20.0,HARD,3.0,106.863
GAS,Alpine,44.0,0 days 00:01:46.048000,21.0,HARD,3.0,106.048
GAS,Alpine,45.0,0 days 00:01:45.915000,22.0,HARD,3.0,105.915
GAS,Alpine,46.0,0 days 00:01:45.776000,23.0,HARD,3.0,105.776
GAS,Alpine,47.0,0 days 00:01:45.540000,24.0,HARD,3.0,105.54
GAS,Alpine,48.0,0 days 00:01:45.556000,25.0,HARD,3.0,105.556
GAS,Alpine,49.0,0 days 00:01:45.582000,26.0,HARD,3.0,105.582
GAS,Alpine,50.0,0 days 00:01:45.599000,27.0,HARD,3.0,105.599
GAS,Alpine,51.0,0 days 00:01:45.899000,28.0,HARD,3.0,105.899
PER,Red Bull Racing,1.0,0 days 00:01:51.373000,1.0,MEDIUM,1.0,111.373
PER,Red Bull Racing,2.0,0 days 00:01:47.717000,2.0,MEDIUM,1.0,107.717
PER,Red Bull Racing,3.0,0 days 00:01:47.657000,3.0,MEDIUM,1.0,107.657
PER,Red Bull Racing,4.0,0 days 00:01:47.404000,4.0,MEDIUM,1.0,107.404
PER,Red Bull Racing,5.0,0 days 00:01:47.615000,5.0,MEDIUM,1.0,107.615
PER,Red Bull Racing,6.0,0 days 00:01:47.073000,6.0,MEDIUM,1.0,107.073
PER,Red Bull Racing,7.0,0 days 00:01:46.885000,7.0,MEDIUM,1.0,106.885
PER,Red Bull Racing,8.0,0 days 00:01:46.807000,8.0,MEDIUM,1.0,106.807
PER,Red Bull Racing,9.0,0 days 00:01:46.448000,9.0,MEDIUM,1.0,106.448
PER,Red Bull Racing,10.0,0 days 00:01:46.905000,10.0,MEDIUM,1.0,106.905
PER,Red Bull Racing,14.0,0 days 00:01:45.798000,3.0,HARD,2.0,105.798
PER,Red Bull Racing,15.0,0 days 00:01:45.803000,4.0,HARD,2.0,105.803
PER,Red Bull Racing,16.0,0 days 00:01:45.518000,5.0,HARD,2.0,105.518
PER,Red Bull Racing,17.0,0 days 00:01:45.523000,6.0,HARD,2.0,105.523
PER,Red Bull Racing,18.0,0 days 00:01:45.504000,7.0,HARD,2.0,105.504
PER,Red Bull Racing,19.0,0 days 00:01:45.471000,8.0,HARD,2.0,105.471
PER,Red Bull Racing,20.0,0 days 00:01:45.677000,9.0,HARD,2.0,105.677
PER,Red Bull Racing,21.0,0 days 00:01:45.838000,10.0,HARD,2.0,105.838
PER,Red Bull Racing,22.0,0 days 00:01:45.695000,11.0,HARD,2.0,105.695
PER,Red Bull Racing,23.0,0 days 00:01:45.779000,12.0,HARD,2.0,105.779
PER,Red Bull Racing,24.0,0 days 00:01:45.734000,13.0,HARD,2.0,105.734
PER,Red Bull Racing,25.0,0 days 00:01:45.666000,14.0,HARD,2.0,105.666
PER,Red Bull Racing,26.0,0 days 00:01:45.732000,15.0,HARD,2.0,105.732
PER,Red Bull Racing,27.0,0 days 00:01:45.521000,16.0,HARD,2.0,105.521
PER,Red Bull Racing,28.0,0 days 00:01:45.538000,17.0,HARD,2.0,105.538
PER,Red Bull Racing,29.0,0 days 00:01:45.745000,18.0,HARD,2.0,105.745
PER,Red Bull Racing,30.0,0 days 00:01:45.394000,19.0,HARD,2.0,105.394
PER,Red Bull Racing,31.0,0 days 00:01:45.485000,20.0,HARD,2.0,105.485
PER,Red Bull Racing,32.0,0 days 00:01:45.311000,21.0,HARD,2.0,105.311
PER,Red Bull Racing,33.0,0 days 00:01:45.395000,22.0,HARD,2.0,105.395
PER,Red Bull Racing,34.0,0 days 00:01:45.262000,23.0,HARD,2.0,105.262
PER,Red Bull Racing,35.0,0 days 00:01:44.869000,24.0,HARD,2.0,104.869
PER,Red Bull Racing,36.0,0 days 00:01:44.898000,25.0,HARD,2.0,104.898
PER,Red Bull Racing,37.0,0 days 00:01:44.970000,26.0,HARD,2.0,104.97
PER,Red Bull Racing,38.0,0 days 00:01:45.017000,27.0,HARD,2.0,105.017
PER,Red Bull Racing,39.0,0 days 00:01:45.092000,28.0,HARD,2.0,105.092
PER,Red Bull Racing,40.0,0 days 00:01:45.342000,29.0,HARD,2.0,105.342
PER,Red Bull Racing,41.0,0 days 00:01:45.676000,30.0,HARD,2.0,105.676
PER,Red Bull Racing,42.0,0 days 00:01:45.096000,31.0,HARD,2.0,105.096
PER,Red Bull Racing,43.0,0 days 00:01:44.875000,32.0,HARD,2.0,104.875
PER,Red Bull Racing,44.0,0 days 00:01:44.750000,33.0,HARD,2.0,104.75
PER,Red Bull Racing,45.0,0 days 00:01:44.960000,34.0,HARD,2.0,104.96
PER,Red Bull Racing,46.0,0 days 00:01:44.731000,35.0,HARD,2.0,104.731
PER,Red Bull Racing,47.0,0 days 00:01:45.139000,36.0,HARD,2.0,105.139
PER,Red Bull Racing,48.0,0 days 00:01:44.892000,37.0,HARD,2.0,104.892
PER,Red Bull Racing,49.0,0 days 00:01:44.611000,38.0,HARD,2.0,104.611
PER,Red Bull Racing,50.0,0 days 00:01:44.589000,39.0,HARD,2.0,104.589
PER,Red Bull Racing,51.0,0 days 00:01:44.926000,40.0,HARD,2.0,104.926
ALO,Aston Martin,1.0,0 days 00:01:54.002000,1.0,MEDIUM,1.0,114.002
ALO,Aston Martin,2.0,0 days 00:01:48.064000,2.0,MEDIUM,1.0,108.064
ALO,Aston Martin,3.0,0 days 00:01:47.782000,3.0,MEDIUM,1.0,107.782
ALO,Aston Martin,4.0,0 days 00:01:47.912000,4.0,MEDIUM,1.0,107.912
ALO,Aston Martin,5.0,0 days 00:01:47.899000,5.0,MEDIUM,1.0,107.899
ALO,Aston Martin,6.0,0 days 00:01:48.367000,6.0,MEDIUM,1.0,108.367
ALO,Aston Martin,7.0,0 days 00:01:47.955000,7.0,MEDIUM,1.0,107.955
ALO,Aston Martin,8.0,0 days 00:01:47.062000,8.0,MEDIUM,1.0,107.062
ALO,Aston Martin,9.0,0 days 00:01:48.830000,9.0,MEDIUM,1.0,108.83
ALO,Aston Martin,10.0,0 days 00:01:47.416000,10.0,MEDIUM,1.0,107.416
ALO,Aston Martin,14.0,0 days 00:01:48.907000,3.0,HARD,2.0,108.907
ALO,Aston Martin,15.0,0 days 00:01:46.929000,4.0,HARD,2.0,106.929
ALO,Aston Martin,16.0,0 days 00:01:46.404000,5.0,HARD,2.0,106.404
ALO,Aston Martin,17.0,0 days 00:01:46.869000,6.0,HARD,2.0,106.869
ALO,Aston Martin,18.0,0 days 00:01:47.199000,7.0,HARD,2.0,107.199
ALO,Aston Martin,19.0,0 days 00:01:46.856000,8.0,HARD,2.0,106.856
ALO,Aston Martin,20.0,0 days 00:01:47.025000,9.0,HARD,2.0,107.025
ALO,Aston Martin,21.0,0 days 00:01:46.860000,10.0,HARD,2.0,106.86
ALO,Aston Martin,22.0,0 days 00:01:46.229000,11.0,HARD,2.0,106.229
ALO,Aston Martin,23.0,0 days 00:01:46.646000,12.0,HARD,2.0,106.646
ALO,Aston Martin,24.0,0 days 00:01:46.162000,13.0,HARD,2.0,106.162
ALO,Aston Martin,25.0,0 days 00:01:46.620000,14.0,HARD,2.0,106.62
ALO,Aston Martin,26.0,0 days 00:01:46.381000,15.0,HARD,2.0,106.381
ALO,Aston Martin,27.0,0 days 00:01:46.064000,16.0,HARD,2.0,106.064
ALO,Aston Martin,28.0,0 days 00:01:46.091000,17.0,HARD,2.0,106.091
ALO,Aston Martin,29.0,0 days 00:01:45.847000,18.0,HARD,2.0,105.847
ALO,Aston Martin,30.0,0 days 00:01:45.691000,19.0,HARD,2.0,105.691
ALO,Aston Martin,31.0,0 days 00:01:45.781000,20.0,HARD,2.0,105.781
ALO,Aston Martin,32.0,0 days 00:01:46.194000,21.0,HARD,2.0,106.194
ALO,Aston Martin,33.0,0 days 00:01:46.350000,22.0,HARD,2.0,106.35
ALO,Aston Martin,34.0,0 days 00:01:46.152000,23.0,HARD,2.0,106.152
ALO,Aston Martin,35.0,0 days 00:01:45.816000,24.0,HARD,2.0,105.816
ALO,Aston Martin,36.0,0 days 00:01:46.079000,25.0,HARD,2.0,106.079
ALO,Aston Martin,37.0,0 days 00:01:45.344000,26.0,HARD,2.0,105.344
ALO,Aston Martin,38.0,0 days 00:01:45.955000,27.0,HARD,2.0,105.955
ALO,Aston Martin,39.0,0 days 00:01:45.642000,28.0,HARD,2.0,105.642
ALO,Aston Martin,40.0,0 days 00:01:45.372000,29.0,HARD,2.0,105.372
ALO,Aston Martin,41.0,0 days 00:01:44.998000,30.0,HARD,2.0,104.998
ALO,Aston Martin,42.0,0 days 00:01:44.933000,31.0,HARD,2.0,104.933
ALO,Aston Martin,43.0,0 days 00:01:44.673000,32.0,HARD,2.0,104.673
ALO,Aston Martin,44.0,0 days 00:01:44.782000,33.0,HARD,2.0,104.782
ALO,Aston Martin,45.0,0 days 00:01:44.967000,34.0,HARD,2.0,104.967
ALO,Aston Martin,46.0,0 days 00:01:44.803000,35.0,HARD,2.0,104.803
ALO,Aston Martin,47.0,0 days 00:01:44.879000,36.0,HARD,2.0,104.879
ALO,Aston Martin,48.0,0 days 00:01:44.541000,37.0,HARD,2.0,104.541
ALO,Aston Martin,49.0,0 days 00:01:44.241000,38.0,HARD,2.0,104.241
ALO,Aston Martin,50.0,0 days 00:01:44.439000,39.0,HARD,2.0,104.439
ALO,Aston Martin,51.0,0 days 00:01:44.273000,40.0,HARD,2.0,104.273
LEC,Ferrari,1.0,0 days 00:01:50.109000,1.0,MEDIUM,1.0,110.109
LEC,Ferrari,2.0,0 days 00:01:47.656000,2.0,MEDIUM,1.0,107.656
LEC,Ferrari,3.0,0 days 00:01:48.151000,3.0,MEDIUM,1.0,108.151
LEC,Ferrari,4.0,0 days 00:01:47.966000,4.0,MEDIUM,1.0,107.966
LEC,Ferrari,5.0,0 days 00:01:47.757000,5.0,MEDIUM,1.0,107.757
LEC,Ferrari,6.0,0 days 00:01:48.067000,6.0,MEDIUM,1.0,108.067
LEC,Ferrari,7.0,0 days 00:01:47.157000,7.0,MEDIUM,1.0,107.157
LEC,Ferrari,8.0,0 days 00:01:47.707000,8.0,MEDIUM,1.0,107.707
LEC,Ferrari,9.0,0 days 00:01:47.421000,9.0,MEDIUM,1.0,107.421
LEC,Ferrari,10.0,0 days 00:01:47.034000,10.0,MEDIUM,1.0,107.034
LEC,Ferrari,14.0,0 days 00:01:48.511000,3.0,HARD,2.0,108.511
LEC,Ferrari,15.0,0 days 00:01:46.741000,4.0,HARD,2.0,106.741
LEC,Ferrari,16.0,0 days 00:01:46.345000,5.0,HARD,2.0,106.345
LEC,Ferrari,17.0,0 days 00:01:46.392000,6.0,HARD,2.0,106.392
LEC,Ferrari,18.0,0 days 00:01:46.727000,7.0,HARD,2.0,106.727
LEC,Ferrari,19.0,0 days 00:01:46.688000,8.0,HARD,2.0,106.688
LEC,Ferrari,20.0,0 days 00:01:46.752000,9.0,HARD,2.0,106.752
LEC,Ferrari,21.0,0 days 00:01:46.697000,10.0,HARD,2.0,106.697
LEC,Ferrari,22.0,0 days 00:01:46.481000,11.0,HARD,2.0,106.481
LEC,Ferrari,23.0,0 days 00:01:46.554000,12.0,HARD,2.0,106.554
LEC,Ferrari,24.0,0 days 00:01:46.510000,13.0,HARD,2.0,106.51
LEC,Ferrari,25.0,0 days 00:01:46.430000,14.0,HARD,2.0,106.43
LEC,Ferrari,26.0,0 days 00:01:46.711000,15.0,HARD,2.0,106.711
LEC,Ferrari,27.0,0 days 00:01:46.399000,16.0,HARD,2.0,106.399
LEC,Ferrari,28.0,0 days 00:01:45.874000,17.0,HARD,2.0,105.874
LEC,Ferrari,29.0,0 days 00:01:45.938000,18.0,HARD,2.0,105.938
LEC,Ferrari,30.0,0 days 00:01:46.375000,19.0,HARD,2.0,106.375
LEC,Ferrari,31.0,0 days 00:01:46.018000,20.0,HARD,2.0,106.018
LEC,Ferrari,32.0,0 days 00:01:45.627000,21.0,HARD,2.0,105.627
LEC,Ferrari,33.0,0 days 00:01:45.726000,22.0,HARD,2.0,105.726
LEC,Ferrari,34.0,0 days 00:01:45.873000,23.0,HARD,2.0,105.873
LEC,Ferrari,35.0,0 days 00:01:45.589000,24.0,HARD,2.0,105.589
LEC,Ferrari,36.0,0 days 00:01:45.446000,25.0,HARD,2.0,105.446
LEC,Ferrari,37.0,0 days 00:01:45.332000,26.0,HARD,2.0,105.332
LEC,Ferrari,38.0,0 days 00:01:45.266000,27.0,HARD,2.0,105.266
LEC,Ferrari,39.0,0 days 00:01:45.265000,28.0,HARD,2.0,105.265
LEC,Ferrari,40.0,0 days 00:01:45.363000,29.0,HARD,2.0,105.363
LEC,Ferrari,41.0,0 days 00:01:45.383000,30.0,HARD,2.0,105.383
LEC,Ferrari,42.0,0 days 00:01:45.006000,31.0,HARD,2.0,105.006
LEC,Ferrari,43.0,0 days 00:01:44.670000,32.0,HARD,2.0,104.67
LEC,Ferrari,44.0,0 days 00:01:45.323000,33.0,HARD,2.0,105.323
LEC,Ferrari,45.0,0 days 00:01:44.886000,34.0,HARD,2.0,104.886
LEC,Ferrari,46.0,0 days 00:01:44.927000,35.0,HARD,2.0,104.927
LEC,Ferrari,47.0,0 days 00:01:45.048000,36.0,HARD,2.0,105.048
LEC,Ferrari,48.0,0 days 00:01:45.045000,37.0,HARD,2.0,105.045
LEC,Ferrari,49.0,0 days 00:01:44.561000,38.0,HARD,2.0,104.561
LEC,Ferrari,50.0,0 days 00:01:44.977000,39.0,HARD,2.0,104.977
LEC,Ferrari,51.0,0 days 00:01:45.409000,40.0,HARD,2.0,105.409
STR,Aston Martin,1.0,0 days 00:01:54.568000,1.0,MEDIUM,1.0,114.568
STR,Aston Martin,2.0,0 days 00:01:48.409000,2.0,MEDIUM,1.0,108.409
STR,Aston Martin,3.0,0 days 00:01:47.753000,3.0,MEDIUM,1.0,107.753
STR,Aston Martin,4.0,0 days 00:01:47.914000,4.0,MEDIUM,1.0,107.914
STR,Aston Martin,5.0,0 days 00:01:47.689000,5.0,MEDIUM,1.0,107.689
